runtime,model,concurrency,completed,failed,output_tok_s,total_tok_s,peak_output_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,note
upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,16,64,0,368.7467288621228,767.3821085988121,528.0,785.8233699989796,1820.215358638161,36.09712269290888,40.315066646141396,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,64,256,0,662.4520486698132,1378.9628369069812,1088.0,1621.8757230017218,2132.7550444017106,83.73658655906956,93.91360476102123,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
upstream-nightly,nvidia/Qwen3.6-35B-A3B-NVFP4,128,512,0,771.7882205744852,1606.2983659350377,1280.0,2868.8596229985706,4415.558024319034,141.10849212598322,163.0476166005464,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
eugr spark-vllm,nvidia/Qwen3.6-35B-A3B-NVFP4,16,64,0,344.91162788392654,717.779959981101,509.0,749.398961001134,2186.3068080841185,37.79487936615652,38.47665525629555,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
eugr spark-vllm,nvidia/Qwen3.6-35B-A3B-NVFP4,64,256,0,669.1962823243581,1393.001660685561,1055.0,1392.0927420003864,1807.4541780009895,85.40742679920865,93.47833866773354,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
eugr spark-vllm,nvidia/Qwen3.6-35B-A3B-NVFP4,128,512,0,807.2925336088825,1680.1923675412654,1280.0,2499.6426529978635,3316.4819578797324,139.0357418464463,153.67417967648487,max_num_seqs=128 max_model_len=65536 modelopt marlin flashinfer
