target_tokens,concurrency,requests,success,failed,wall_s,request_throughput,output_tok_s,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms
16384,1,4,4,0,6.66269545792602,0.60035762181529,30.46814930712597,495.496874966193,528.0950205866247,530.8424892835319,1602.1465204539709,2123.5417204676196,2166.850526712369
16384,4,8,8,0,6.239056332968175,1.282245194313556,64.43282101425619,753.0057085095905,1382.5360786984675,1383.970101835439,3089.8253335617483,4172.617266105954,4412.548799550859
32768,1,4,4,0,22.632423750008456,0.1767375886994209,8.748510640621335,4466.642833023798,4495.441916864365,4501.237854477949,5617.992062529083,6078.169317089487,6104.300679516746
32768,4,8,8,0,6.601152874995023,1.2119095181545894,60.89845328726811,700.6806665449403,1518.4386251610704,1518.8224585785065,3281.124708475545,4465.459667111281,4702.994750562357
65536,1,4,4,0,48.52203933300916,0.08243676595181422,4.080619914614804,10944.446604466066,11024.725262634456,11034.38744378509,12179.92704192875,12615.233254421037,12629.76177323726
65536,4,8,8,0,7.883404832915403,1.0147899504789835,50.232102548709676,1196.876458474435,2144.9109125998802,2145.0826022715773,3799.7308745398186,5152.3852213751525,5246.206819161307
100000,1,4,4,0,65.89218249998521,0.060705228575497525,3.0959666573503735,15031.449854024686,15202.234462404158,15238.186543708434,16615.96827051835,16707.185541675426,16724.61160431849
100000,4,8,8,0,12.768205416970886,0.6265563357374235,31.954373122608597,1925.3204170963727,4063.220249756705,4063.2768328825478,6261.748375487514,7784.474746242631,8495.22153965081
