case_name,prompt_tokens,concurrency,requests,max_tokens,latency_s_median,ttft_s_median,tpot_s_median,completed,errors,status
summary_128k_custom_c1_r1_max64,128000,1,1,64,24.604699850082397,19.801030158996582,0.07390261063208947,1,0,valid
summary_2k_custom_c4_r8_max128,2000,4,8,128,40.07086229324341,30.267641305923462,0.07594508902971134,8,0,valid
summary_512k_custom_c1_r1_max64,512000,1,1,64,174.8198597431183,170.11841702461243,0.07346004247665405,1,0,valid
summary_512k_custom_c1_r1_max64_gmu98,512000,1,1,64,1.6423239707946777,1.641920566558838,0.00040340423583984375,1,0,destructive
summary_980k_custom_c1_r1_max32,980000,1,1,32,549.1343443393707,547.0627851486206,0.06905197302500407,1,0,valid
