period_start,period_end,namespace,data_start,data_end,pod_request_cpu_core_seconds
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,default,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,360.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,glusterfs-storage,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,540.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,metering-wzh,2019-05-21 07:01:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,5451.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,openshift-console,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,540.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,openshift-logging,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,3600.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,openshift-monitoring,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,459.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,openshift-sdn,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,2520.000000
2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:30:00 +0000 UTC,openshift-web-console,2019-05-21 07:00:00 +0000 UTC,2019-05-21 07:29:00 +0000 UTC,540.000000
